#name,strength,airport,city,country,description,type,latitude,longitude
Waldorf Astoria Hanoi,,HAN,Hanoi,VN,,Luxury Hotel,,
Sofitel Legend Metropole Hanoi,,HAN,Hanoi,VN,,Luxury Hotel,21.0245,105.8412
The Tasman,,HBA,,AU,Luxury Collection Hotels,Luxury Hotel,,
Four Seasons ALEXANDRIA,,HBE,,EG,Four Seasons,Luxury Hotel,,
Royal Malewane,,HDS,,ZA,,Luxury Hotel,,
Hotel Kämp,,HEL,,,,Luxury Hotel,,
Heraklion,,HER,,GR,,Elite residential,,
Heraklion One&Only,,HER,,GR,One&Only,Luxury Hotel,,
Shangri-La Huhhot,,HET,Hohhot,CN,,Luxury Hotel,40.8175,111.6606
Shangri-La Hefei,,HFE,Hefei,CN,,Luxury Hotel,31.8639,117.2264
Moganshan,,HGH,,CN,A mountain retreat near Hangzhou,Adventure Tourism,,
Wuzhen,,HGH,,CN,An affluent water town near Hangzhou,Elite residential,,
West Lake District,,HGH,,CN,Picturesque area featuring historic villas,Elite residential,,
Amanfayun,,HGH,,CN,Aman resorts,Luxury Hotel,,
Four Seasons HANGZHOU AT WEST LAKE,,HGH,,CN,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Hangzhou,,HGH,,CN,JW Marriott,Luxury Hotel,,
JW Marriott Hotel Zhejiang Anji,,HGH,,CN,JW Marriott,Luxury Hotel,,
The Azure Qiantang,,HGH,,CN,Luxury Collection Hotels,Luxury Hotel,,
Rosewood Hangzhou,,HGH,,CN,Rosewood Hotel,Luxury Hotel,,
Conrad Hangzhou,,HGH,Hangzhou,CN,,Luxury Hotel,,
Conrad Hangzhou Tonglu,,HGH,Hangzhou,CN,,Luxury Hotel,,
Park Hyatt Hangzhou,,HGH,Hangzhou,CN,,Luxury Hotel,,
Alila Wuzhen,,HGH,,CN,,Luxury Hotel,,
Banyan Tree Hangzhou,,HGH,Hangzhou,CN,,Luxury Hotel,,
Shangri-La Hangzhou,,HGH,Hangzhou,CN,,Luxury Hotel,30.292778,120.163889
Midtown Shangri-La,,HGH,Hangzhou,CN,,Luxury Hotel,30.27,120.17
Shangri-La Hangzhou,,HGH,Hangzhou,CN,,Luxury Hotel,30.27,120.17
Hilton Head Island,,HHH,,US,,Elite residential,,
Fenghuang,,HJJ,,CN,A well-preserved ancient town in Hunan Province,Adventure Tourism,,
Pashan Garh A Taj Safari,,HJR,Khajuraho,IN,,Luxury Hotel,24.85,79.9167
The Art Basel Fair,,HKG,,HK,Leading art fair held showcasing contemporary and modern artworks,Elite Destination,,
Mount Nicholson Road,,HKG,Hong Kong,HK,,Elite residential,,
Repulse Bay,,HKG,Hong Kong,HK,,Elite residential,,
The Peak,,HKG,Hong Kong,HK,,Elite residential,,
Four Seasons HONG KONG,,HKG,Hong Kong,HK,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Hong Kong,,HKG,Hong Kong,HK,JW Marriott,Luxury Hotel,,
Mandarin Oriental Hong Kong,,HKG,Hong Kong,HK,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Hong Kong,,HKG,Hong Kong,HK,Ritz-Carlton,Luxury Hotel,,
Rosewood Hong Kong,,HKG,Hong Kong,HK,Rosewood Hotel,Luxury Hotel,,
The St. Regis Hong Kong,,HKG,Hong Kong,HK,St. Regis,Luxury Hotel,,
The Peninsula Hong Kong,,HKG,Hong Kong,HK,The Peninsula,Luxury Hotel,,
Conrad Hong Kong,,HKG,Hong Kong,HK,,Luxury Hotel,,
University of Hong Kong,,HKG,Hong Kong,HK,,University,,
Phuket,,HKT,,TH,,Elite residential,,
Amanpuri,,HKT,,TH,Aman resorts,Luxury Hotel,,
COMO Point Yamu,,HKT,,TH,COMO,Luxury Hotel,,
JW Marriott Khao Lak Resort & Spa,,HKT,,TH,JW Marriott,Luxury Hotel,,
JW Marriott Phuket Resort & Spa,,HKT,,TH,JW Marriott,Luxury Hotel,,
The Naka Island,,HKT,,TH,Luxury Collection Hotels,Luxury Hotel,,
Rosewood Phuket,,HKT,,TH,Rosewood Hotel,Luxury Hotel,,
Banyan Tree Phuket,,HKT,Phuket,TH,,Luxury Hotel,,
Banyan Tree Veya Phuket,,HKT,Phuket,TH,,Luxury Hotel,,
National Diet Building,,HND,Tokyo,JP,,Elite Destination,,
Ginza,,HND,Tokyo,JP,,Elite residential,,
Shangri-La Hotel Tokyo,,HND,Tokyo,JP,,Luxury Hotel,35.5523,139.7798
Bulgari Hotel,,HND,Tokyo,JP,Bulgari Hotel,Luxury Hotel,,
Four Seasons TOKYO AT MARUNOUCHI,,HND,Tokyo,JP,Four Seasons,Luxury Hotel,,
Four Seasons TOKYO AT OTEMACHI,,HND,Tokyo,JP,Four Seasons,Luxury Hotel,,
HOSHINOYA Fuji,,HND,Tokyo,JP,HOSHINOYA,Luxury Hotel,,
HOSHINOYA Tokyo,,HND,Tokyo,JP,HOSHINOYA,Luxury Hotel,,
Fuji Speedway Hotel,,HND,,JP,Hyatt Unbound,Luxury Hotel,,
The Peninsula Tokyo,,HND,,JP,,Luxury Hotel,,
Waldorf Astoria Tokyo Nihonbashi,,HND,Tokyo,JP,,Luxury Hotel,,
Conrad Tokyo,,HND,Tokyo,JP,,Luxury Hotel,,
Andaz Tokyo Toranomon Hills,,HND,Tokyo,JP,,Luxury Hotel,,
Grand Hyatt Tokyo,,HND,Tokyo,JP,,Luxury Hotel,,
Park Hyatt Tokyo,,HND,Tokyo,JP,,Luxury Hotel,,
Palace Hotel,,HND,,JP,,Luxury Hotel,,
Giant Wave Surfing,,HNL,,US,Luxurious beachfront estates set the scene for world-class surfing and private helicopter tours.,Adventure Tourism,,
Four Seasons HAWAII,,HNL,,US,Four Seasons,Luxury Hotel,,
The Royal Hawaiian,,HNL,,US,Luxury Collection Hotels,Luxury Hotel,,
The Ritz-Carlton Residences Waikiki Beach,,HNL,,US,Ritz-Carlton,Luxury Hotel,,
Halekulani,,HNL,,US,,Luxury Hotel,,
The Kahala Hotel & Resort,,HNL,,US,,Luxury Hotel,,
River Oaks,,HOU,Houston,US,,Elite residential,,
Ha Long Bay,,HPH,,VN,Cruise through mystical limestone formations with luxurious junks offering private balconies and gourmet meals.,Adventure Tourism,,
Scarsdale,,HPN,,US,,Elite residential,,
Darien,,HPN,,US,,Elite residential,,
JW Marriott Hotel Harbin River North,,HRB,,CN,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Harbin,,HRB,,CN,Ritz-Carlton,Luxury Hotel,,
Shangri-La Harbin,,HRB,Harbin,CN,,Luxury Hotel,45.756389,126.647222
Shangri-La Songbei,,HRB,Harbin,CN,,Luxury Hotel,45.8,126.53
Shangri-La Harbin,,HRB,Harbin,CN,,Luxury Hotel,45.8,126.53
The St. Regis Almasa Hotel,,HRG,,EG,St. Regis,Luxury Hotel,,
The Oberoi Beach Resort,,HRG,,EG,The Oberoi,Luxury Hotel,,
Rosewood Tangalle,,HRI,,LK,Rosewood Hotel,Luxury Hotel,,
Shangri-La Hambantota Golf Resort & Spa,,HRI,Hambantota,LK,,Luxury Hotel,6.1241,81.1181
Shangri-La’s Hambantota Golf Resort & Spa,,HRI,Hambantota,LK,,Luxury Hotel,6.1241,81.1181
Shangri-La Zhoushan,,HSN,Zhoushan,CN,,Luxury Hotel,29.95,122.2
Hamilton Island,,HTI,,AU,,Elite residential,,
InterContinental Hayman Island Resort,,HTI,,AU,IHG Hotel,Luxury Hotel,,
East Hampton,,HTO,,US,,Elite residential,,
Montauk,,HTO,,US,,Elite residential,,
Southampton ,,HTO,,US,,Elite residential,,
Banyan Tree Lăng Cô,,HUI,Hue,VN,,Luxury Hotel,,
Fraser Island,,HVB,,AU,Explore the world's largest sand island with exclusive wilderness resorts and private 4x4 tours.,Adventure Tourism,,
The Golden Triangle,,HVN,,US,,Elite residential,,
Yale University,,HVN,,US,,University,,
Park Hyatt Hyderabad,,HYD,Hyderabad,IN,,Luxury Hotel,,
Taj Falaknuma Palace,,HYD,Hyderabad,IN,,Luxury Hotel,17.3555,78.4687
Wolf Trap National Park for the Performing Arts,,IAD,,US,,Elite Destination,,
The Jefferson,,IAD,,US,MICHELIN Two Key Hotel,Luxury Hotel,,
The Ritz-Carlton Pentagon City,,IAD,Washington D.C.,US,Ritz-Carlton,Luxury Hotel,,
The Ritz-Carlton Tysons Corner,,IAD,Washington D.C.,US,Ritz-Carlton,Luxury Hotel,,
Conrad Washington,,IAD,Washington,US,,Luxury Hotel,,
Grand Hyatt,,IAD,,,,Luxury Hotel,,
Four Seasons HOUSTON,,IAH,Houston,US,Four Seasons,Luxury Hotel,,
JW Marriott Houston Downtown,,IAH,Houston,US,JW Marriott,Luxury Hotel,,
The St. Regis Houston,,IAH,Houston,US,St. Regis,Luxury Hotel,,
THOMPSON HOUSTON,,IAH,,US,,Luxury Hotel,,
Ibiza,,IBZ,,ES,Exclusive Mediterranean island known for its upscale beach clubs,Elite residential,,
Ibiza,,IBZ,,ES,,Elite residential,,
Ibiza,,IBZ,,ES,,Elite residential,,
Six Senses Ibiza,,IBZ,,ES,Six Senses Resorts,Luxury Hotel,,
Gangnam,,ICN,Seoul,KR,,Elite residential,,
Pyeongchang-dong,,ICN,Seoul,KR,,Elite residential,,
Four Seasons SEOUL,,ICN,Seoul,KR,Four Seasons,Luxury Hotel,,
JW Marriott Dongdaemun Square Seoul,,ICN,Seoul,KR,JW Marriott,Luxury Hotel,,
JW Marriott Hotel Seoul,,ICN,Seoul,KR,JW Marriott,Luxury Hotel,,
Josun Palace,,ICN,Seoul,KR,Luxury Collection Hotels,Luxury Hotel,,
Conrad Seoul,,ICN,Seoul,KR,,Luxury Hotel,,
Park Hyatt Seoul,,ICN,,KR,,Luxury Hotel,,
Andaz Seoul Gangnam,,ICN,Seoul,KR,,Luxury Hotel,,
SIGNIEL Seoul,,ICN,,KR,,Luxury Hotel,,
Fairmont Grand Hotel Kyiv,,IEV,Kyiv,UA,,Luxury Hotel,50.4501,30.5234
Hotel das Cataratas,,IGU,,BR,,Luxury Hotel,,
Belmond Hotel das Cataratas,,IGU,Foz do Iguaçu,BR,,Luxury Hotel,,
Elahieh,,IKA,Tehran,IR,,Elite residential,,
JW Marriott Hotel Yinchuan,,INC,,CN,JW Marriott,Luxury Hotel,,
JW Marriott Indianapolis,,IND,,US,JW Marriott,Luxury Hotel,,
Conrad Indianapolis,,IND,Indianapolis,US,,Luxury Hotel,,
Lech am Arlberg,,INN,,AT,,Luxury Hotel,,
The Scottish Highlands,,INV,,GB,Dramatic landscapes with exclusive hunting lodges and luxury castles offering a unique and historic getaway.,Elite residential,,
Isle of Man,,IOM,,IM,Tranquil island escape with exclusive heritage sites,Elite residential,,
Easter Island,,IPC,,CL,,Adventure Tourism,,
Nayara Hangaroa,,IPC,,,,Luxury Hotel,,
Ishigaki Island,,ISG,,JP,Remote island paradise offering exclusive diving spots,Adventure Tourism,,
HOSHINOYA Taketomi Island,,ISG,,JP,HOSHINOYA,Luxury Hotel,,
Brookhaven,,ISP,,US,,Elite residential,,
Etiler,,IST,Istanbul,TR,,Elite residential,,
Gateway to Europe with a booming property market,,IST,Istanbul,TR,,Elite residential,,
Istanbul,,IST,Istanbul,TR,,Elite residential,,
Four Seasons ISTANBUL AT SULTANAHMET,,IST,Istanbul,TR,Four Seasons,Luxury Hotel,,
Four Seasons ISTANBUL AT THE BOSPHORUS,,IST,Istanbul,TR,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Istanbul Marmara Sea,,IST,Istanbul,TR,JW Marriott,Luxury Hotel,,
JW Marriott Istanbul Bosphorus,,IST,Istanbul,TR,JW Marriott,Luxury Hotel,,
Sanasaryan Han,,IST,Istanbul,TR,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Istanbul,,IST,Istanbul,TR,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Istanbul,,IST,Istanbul,TR,Ritz-Carlton,Luxury Hotel,,
The St. Regis Istanbul,,IST,Istanbul,TR,St. Regis,Luxury Hotel,,
The Peninsula Istanbul,,IST,Istanbul,TR,The Peninsula,Luxury Hotel,,
The Peninsula Istanbul,,IST,,TR,,Luxury Hotel,,
Conrad Istanbul Bosphorus,,IST,Istanbul,TR,,Luxury Hotel,,
Raffles Istanbul,,IST,Istanbul,TR,,Luxury Hotel,,
Çirağan Palace Kempinski,,IST,,,,Luxury Hotel,,
Cornell University,,ITH,,US,,University,,
JW Marriott Hotel Nara,,ITM,Osaka,JP,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Osaka,,ITM,Osaka,JP,Ritz-Carlton,Luxury Hotel,,
Big Island,,ITO,,US,,Elite residential,,
JW Marriott Hotel Chandigarh,,IXC,,IN,JW Marriott,Luxury Hotel,,
The Oberoi Sukhvilas Spa Resort,,IXC,,IN,The Oberoi,Luxury Hotel,,
Taj Exotica Resort & Spa Andamans,,IXZ,Port Blair,IN,,Luxury Hotel,11.6709,92.7182
Four Seasons JACKSON HOLE,,JAC,,US,Four Seasons,Luxury Hotel,,
Rosewood Jackson Hole,,JAC,,US,Rosewood Hotel,Luxury Hotel,,
Jackson Hole,,JAC,,US,,Ski Resort,,
Rosewood Sawai Madhopur,,JAI,,IN,Rosewood Hotel,Luxury Hotel,,
The Oberoi Rajvilas,,JAI,,IN,The Oberoi,Luxury Hotel,,
The Oberoi Vanyavilas Wildlife Resort,,JAI,,IN,The Oberoi,Luxury Hotel,,
Waldorf Astoria Jaipur,,JAI,Jaipur,IN,,Luxury Hotel,,
Alila Fort Bishangarh,,JAI,Jaipur,IN,,Luxury Hotel,,
Raffles Jaipur,,JAI,Jaipur,IN,,Luxury Hotel,,
Rambagh Palace,,JAI,Jaipur,IN,,Luxury Hotel,26.9079,75.8106
The Ritz-Carlton Amelia Island,,JAX,,US,Ritz-Carlton,Luxury Hotel,,
Umaid Bhawan Palace,,JDH,Jodhpur,IN,,Luxury Hotel,26.2714,73.0236
Saudi Arabian GP,,JED,,,Formula One race held at the Jeddah Corniche Circuit,Elite Destination,21.63194,39.10444
Assila,,JED,,SA,Luxury Collection Hotels,Luxury Hotel,,
The Ritz-Carlton Jeddah,,JED,,SA,Ritz-Carlton,Luxury Hotel,,
Rosewood Jeddah,,JED,,SA,Rosewood Hotel,Luxury Hotel,,
Six Senses SAUDI ARABIA,,JED,,SA,Six Senses Resorts,Luxury Hotel,,
The St. Regis Red Sea Resort,,JED,,SA,St. Regis,Luxury Hotel,,
Waldorf Astoria Jeddah - Qasr Al Sharq,,JED,Jeddah,SA,,Luxury Hotel,,
Conrad Makkah,,JED,Jeddah,SA,,Luxury Hotel,,
Raffles Makkah Palace,,JED,Jeddah,SA,,Luxury Hotel,,
Raffles Jeddah,,JED,Jeddah,SA,,Luxury Hotel,,
Met Gala,,JFK,,US,Ultra-exclusive fashion event at the Metropolitan Museum of Art known for extravagant themes and celebrity attendees.,Elite Destination,,
United Nations,,JFK,New York,US,,Elite Destination,,
Williamsburg,,JFK,New York,US,,Elite residential,,
Aman New York,,JFK,,US,Aman resorts,Luxury Hotel,,
Four Seasons NEW YORK DOWNTOWN,,JFK,New York,US,Four Seasons,Luxury Hotel,,
JW Marriott Essex House New York,,JFK,New York,US,JW Marriott,Luxury Hotel,,
Mandarin Oriental New York,,JFK,New York,US,Mandarin Oriental,Luxury Hotel,,
Casa Cipriani,,JFK,,US,MICHELIN Three Key Hotel,Luxury Hotel,,
Crosby Street Hotel,,JFK,,US,MICHELIN Three Key Hotel,Luxury Hotel,,
The Whitby Hotel,,JFK,,US,MICHELIN Three Key Hotel,Luxury Hotel,,
Rosewood New York City,,JFK,New York,US,Rosewood Hotel,Luxury Hotel,,
The St. Regis New York,,JFK,New York,US,St. Regis,Luxury Hotel,,
Broadway,,JFK,,US,,Luxury Hotel,,
The Peninsula New York,,JFK,,US,,Luxury Hotel,,
The Plaza,,JFK,New York,,,Luxury Hotel,,
Columbia University,,JFK,New York,US,,University,,
Mogao Caves,,JGN,,CN,A UNESCO World Heritage site in Gansu Province,Adventure Tourism,,
Danga Bay,,JHB,,MY,Newly developed waterfront area featuring luxury condominiums,Elite residential,,
Shangri-La Qufu,,JJN,Qufu,CN,,Luxury Hotel,35.6039,116.9714
Banjaar Tola A Taj Safari,,JLR,Jabalpur,IN,,Luxury Hotel,23.15,80.05
Agios Ioannis,,JMK,Mykonos,GR,,Elite residential,,
Mykonos,,JMK,,GR,,Elite residential,,
Mykonos Town,,JMK,Mykonos,GR,,Elite residential,,
Santa Marina,,JMK,,GR,Luxury Collection Hotels,Luxury Hotel,,
Royal Myconian Resort,,JMK,,,,Luxury Hotel,,
Sandton ,,JNB,Johannesburg,ZA,,Elite residential,,
Sandhurst,,JNB,,ZA,,Elite residential,,
Four Seasons JOHANNESBURG,,JNB,,ZA,Four Seasons,Luxury Hotel,,
Saxon Hotel Villas & Spa,,JNB,,,,Luxury Hotel,,
Shambala Private Game Reserve,,JNB,,,,Luxury Hotel,,
JW Marriott Hotel Qufu,,JNG,,CN,JW Marriott,Luxury Hotel,,
Amanjiwo,,JOG,,ID,Aman resorts,Luxury Hotel,,
Rosewood Magelang,,JOG,,ID,Rosewood Hotel,Luxury Hotel,,
Clinton Foundation,,JRA,,US,,Elite Destination,,
Midtown,,JRA,,US,,Elite Residential,,
Midtown,,JRA,,US,,Elite Residential,,
Broadway,,JRA,,US,,Elite Residential,,
TriBeCa,,JRB,,US,,Elite Residential,,
Wall Street,,JRB,,US,,Elite Residential,,
World Trade Center,,JRB,,US,,Elite Residential,,
Santorini,,JTR,,GR,Iconic Greek island renowned for its stunning sunsets,Elite residential,,
Santorini,,JTR,,GR,,Elite residential,,
Grace Hotel,,JTR,,GR,Auberge Resorts,Luxury Hotel,,
Magma Resort Santorini,,JTR,,GR,Hyatt Unbound,Luxury Hotel,,
Mystique,,JTR,,GR,Luxury Collection Hotels,Luxury Hotel,,
Vedema,,JTR,,GR,Luxury Collection Hotels,Luxury Hotel,,
Jiuzhaigou,,JZH,,CN,A stunning national park in Sichuan Province,Adventure Tourism,,
Rissai Valley,,JZH,,CN,Ritz-Carlton,Luxury Hotel,,
Conrad Jiuzhaigou,,JZH,Jiuzhaigou Valley,CN,,Luxury Hotel,,
Banyan Tree Jiuzhaigou,,JZH,Jiuzhaigou Valley,CN,,Luxury Hotel,,
Moken Islands,,KAW,,MM,Experience pristine beaches and encounters with the indigenous Moken people on exclusive yacht charters or private island stays.,Adventure Tourism,,
Phulay Bay,,KBV,,TH,Ritz-Carlton,Luxury Hotel,,
Banyan Tree Krabi,,KBV,Krabi,TH,,Luxury Hotel,,
Galle Radisson Collection Resort,,KCT,Galle,,Radisson Collection Hotel,Luxury Hotel,5.99988937,80.26713
Iceland,,KEF,,IS,Witness geothermal wonders and glaciers with luxurious lodges offering private hot springs and Northern Lights viewing opportunities.,Adventure Tourism,,
Iceland's Ring Road,,KEF,,IS,,Adventure Tourism,,
The Reykjavik EDITION,,KEF,,IS,EDITION,Luxury Hotel,,
One&Only,,KGL,,RW,One&Only,Luxury Hotel,,
Kenting,,KHH,,TW,Exclusive coastal destination famed for its luxury seaside resorts,Luxury Hotel,,
Shangri-La Nanchang,,KHN,Nanchang,CN,,Luxury Hotel,28.6833,115.8667
Aman Kyoto,,KIX,,JP,Aman resorts,Luxury Hotel,,
Four Seasons KYOTO,,KIX,Osaka,JP,Four Seasons,Luxury Hotel,,
HOSHINOYA Kyoto,,KIX,Osaka,JP,HOSHINOYA,Luxury Hotel,,
HOTEL THE MITSUI KYOTO,,KIX,Osaka,JP,Luxury Collection Hotels,Luxury Hotel,,
Shisui,,KIX,Osaka,JP,Luxury Collection Hotels,Luxury Hotel,,
Suiran,,KIX,Osaka,JP,Luxury Collection Hotels,Luxury Hotel,,
The Ritz-Carlton Kyoto,,KIX,Osaka,JP,Ritz-Carlton,Luxury Hotel,,
Rosewood Kyoto,,KIX,Osaka,JP,Rosewood Hotel,Luxury Hotel,,
Six Senses JAPAN,,KIX,Osaka,JP,Six Senses Resorts,Luxury Hotel,,
The St. Regis Osaka,,KIX,Osaka,JP,St. Regis,Luxury Hotel,,
Waldorf Astoria Osaka,,KIX,Osaka,JP,,Luxury Hotel,,
Conrad Osaka,,KIX,Osaka,JP,,Luxury Hotel,,
Park Hyatt Kyoto,,KIX,Osaka,JP,,Luxury Hotel,,
Rosewood Matauri Bay,,KKE,,NZ,Rosewood Hotel,Luxury Hotel,,
Boracay Island,,KLO,,,,Adventure tourism,,
The Romanos,,KLX,,GR,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Costa Navarino,,KLX,,GR,Mandarin Oriental,Luxury Hotel,,
Shangri-La Kunming (2025),,KMG,Kunming,CN,,Luxury Hotel,25.0417,102.7061
JEN Kunming by Shangri-La (Now Open),,KMG,Kunming,CN,,Luxury Hotel,25.0417,102.7061
JW Marriott Hotel Medan,,KNO,,ID,JW Marriott,Luxury Hotel,,
Four Seasons HAWAII,,KOA,,US,Four Seasons,Luxury Hotel,,
Rosewood Kailua-Kona,,KOA,,US,Rosewood Hotel,Luxury Hotel,,
Fairmont Orchid,,KOA,Kailua-Kona,US,,Luxury Hotel,19.9817,-155.996
Six Senses CAMBODIA,,KOS,,KH,Six Senses Resorts,Luxury Hotel,,
Zakopane Ski Resort,,KRK,,PL,,Ski Resort,,
Annapurna Circuit,,KTM,,NP,,Adventure Tourism,,
The Himalayas,,KTM,,NP,,Adventure Tourism,,
Shangri-La Hotel Kuala Lumpur,,KUL,Kuala Lumpur,MY,,Luxury Hotel,3.1408,101.6869
Four Seasons KUALA LUMPUR,,KUL,,MY,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Kuala Lumpur,,KUL,,MY,JW Marriott,Luxury Hotel,,
Mandarin Oriental Kuala Lumpur,,KUL,,MY,Mandarin Oriental,Luxury Hotel,,
One&Only,,KUL,,MY,One&Only,Luxury Hotel,,
The Ritz-Carlton Kuala Lumpur,,KUL,,MY,Ritz-Carlton,Luxury Hotel,,
The St. Regis Kuala Lumpur,,KUL,,MY,St. Regis,Luxury Hotel,,
Waldorf Astoria Kuala Lumpur,,KUL,Kuala Lumpur,MY,,Luxury Hotel,,
Alila Bangsar Kuala Lumpur,,KUL,,,,Luxury Hotel,,
Yakushima,,KUM,,JP,Remote island paradise famous for its ancient forests,Adventure Tourism,,
Kuwait City,,KWI,,KW,,Elite residential,,
Four Seasons KUWAIT AT BURJ ALSHAYA,,KWI,,KW,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Kuwait City,,KWI,,KW,JW Marriott,Luxury Hotel,,
Sheraton Kuwait,,KWI,,KW,Luxury Collection Hotels,Luxury Hotel,,
The St. Regis Kuwait,,KWI,,KW,St. Regis,Luxury Hotel,,
Waldorf Astoria Kuwait,,KWI,Kuwait City,KW,,Luxury Hotel,,
Yangshuo,,KWL,,CN,A picturesque riverside town in Guangxi Province,Elite residential,,
Shangri-La Guilin,,KWL,Guilin,CN,,Luxury Hotel,25.2767,110.2967
Banyan Tree Yangshuo,,KWL,Guilin,CN,,Luxury Hotel,,
Las Vegas GP,,LAS,,,Formula One race held at the Las Vegas Strip Circuit,Elite Destination,36.11,-115.16222
Amangiri,,LAS,,US,Aman resorts,Luxury Hotel,,
Four Seasons LAS VEGAS,,LAS,,US,Four Seasons,Luxury Hotel,,
JW Marriott Las Vegas Resort & Spa,,LAS,,US,JW Marriott,Luxury Hotel,,
Waldorf Astoria Las Vegas,,LAS,Las Vegas,US,,Luxury Hotel,,
Conrad Las Vegas at Resorts World,,LAS,Las Vegas,US,,Luxury Hotel,,
Beverly Hills,,LAX,Los Angeles,US,,Elite residential,,
Brentwood,,LAX,Los Angeles,US,,Elite residential,,
Santa Monica,,LAX,Los Angeles,US,,Elite residential,,
Rodeo Drive,,LAX,Los Angeles,US,,Elite residential,,
Bulgari Hotel,,LAX,Los Angeles,US,Bulgari Hotel,Luxury Hotel,,
Four Seasons LOS ANGELES AREA,,LAX,Los Angeles,US,Four Seasons,Luxury Hotel,,
The Beverly Hills Hotel Dorchester Collection,,LAX,,US,MICHELIN Three Key Hotel,Luxury Hotel,,
Hotel Bel-Air Dorchester Collection,,LAX,,US,MICHELIN Three Key Hotel,Luxury Hotel,,
Montage Laguna Beach,,LAX,Los Angeles,US,Montage,Luxury Hotel,,
The Ritz-Carlton Laguna Niguel,,LAX,Los Angeles,US,Ritz-Carlton,Luxury Hotel,,
The Ritz-Carlton Los Angeles,,LAX,Los Angeles,US,Ritz-Carlton,Luxury Hotel,,
The Peninsula Beverly Hills,,LAX,,US,,Luxury Hotel,,
Waldorf Astoria Beverly Hills,,LAX,Los Angeles,US,,Luxury Hotel,,
Conrad Los Angeles,,LAX,Los Angeles,US,,Luxury Hotel,,
Andaz West Hollywood,,LAX,Los Angeles,US,,Luxury Hotel,,
Komodo National Park,,LBJ,,ID,Encounter Komodo dragons and other unique wildlife with luxurious liveaboard diving experiences and private island stays.,Adventure Tourism,,
Amanwana,,LBJ,,ID,Aman resorts,Luxury Hotel,,
TA'AKTANA,,LBJ,,ID,Luxury Collection Hotels,Luxury Hotel,,
Alila Purnama,,LBJ,,ID,,Luxury Hotel,,
Parklane,,LCA,,CY,Luxury Collection Hotels,Luxury Hotel,,
Holland Park,,LCY,London,GB,,Elite residential,,
Knightsbridge,,LCY,London,GB,,Elite residential,,
Mayfair,,LCY,London,GB,,Elite residential,,
Bulgari Hotel London,,LCY,London,GB,Bulgari Hotel,Luxury Hotel,,
COMO Metropolitan London,,LCY,London,GB,COMO,Luxury Hotel,,
COMO The Halkin,,LCY,London,GB,COMO,Luxury Hotel,,
EDITION London,,LCY,London,GB,EDITION,Luxury Hotel,,
Four Seasons LONDON AT TEN TRINITY SQUARE,,LCY,London,GB,Four Seasons,Luxury Hotel,,
Le Manoir aux Quat'Saisons,,LCY,London,GB,,Luxury Hotel,,
University of Cambridge,,LCY,London,GB,,University,,
Capella Lord Howe Island,,LDH,,AU,,Luxury Hotel,,
Krestovsky Island,,LED,,RU,Exclusive island known for its historic mansions and yacht clubs,Elite residential,,
Hotel Astoria,,LED,Saint Petersburg,RU,Rocco Forte Hotel,Luxury Hotel,59.9343,30.3351
Grand Hotel Europe,,LED,,RU,,Luxury Hotel,,
Upper East Side,,LGA,New York,US,,Elite residential,,
Midtown,,LGA,New York,US,,Elite residential,,
Grayson Hotel,,LGA,,US,Hyatt Unbound,Luxury Hotel,,
EDITION New York,,LGA,New York,US,,Luxury Hotel,,
Waldorf Astoria New York,,LGA,New York City,US,,Luxury Hotel,,
Conrad New York Midtown,,LGA,New York City,US,,Luxury Hotel,,
The Chatwal,,LGA,New York City,US,,Luxury Hotel,,
Andaz 5th Avenue,,LGA,New York City,US,,Luxury Hotel,,
Park Hyatt New York,,LGA,New York City,US,,Luxury Hotel,,
The Pierre,,LGA,New York City,US,,Luxury Hotel,,
JW Marriott Los Angeles L.A. LIVE,,LGB,Los Angeles,US,JW Marriott,Luxury Hotel,,
Belgian GP,,LGG,,,Formula One race held at the Circuit de Spa-Francorchamps,Elite Destination,50.43722,5.97139
Langkawi,,LGK,,MY,Exclusive Malaysian archipelago known for its luxury beach resorts,Elite residential,,
Four Seasons LANGKAWI,,LGK,,MY,Four Seasons,Luxury Hotel,,
The Ritz-Carlton Langkawi,,LGK,,MY,Ritz-Carlton,Luxury Hotel,,
The St. Regis Langkawi,,LGK,,MY,St. Regis,Luxury Hotel,,
The Datai Langkawi,,LGK,,,,Luxury Hotel,,
Knightsbridge,,LGW,London,GB,,Elite residential,,
Kensington,,LGW,London,GB,,Elite residential,,
The May Fair,,LGW,London,gb,Radisson Collection Hotel,Luxury Hotel,51.5081177,0.14395
Rosewood Rosewood,,LGW,London,GB,Rosewood Hotel,Luxury Hotel,,
The Cadogan,,LGW,London,GB,,Luxury Hotel,,
